Promedio móvil tres meses;Tasa de Desempleo (%)  14 a 24 años
Sep19;14.21373084
Oct19;16.86344165
Nov19;16.33817427
Dic19;15.80398162
Ene20;15.96590365
Feb20;17.63098379
Mar20;17.75424537
Abr20;18.81943515
May20;24.3559719
Jun20;33.38457597
Jul20;32.59102156
Ago20;31.74765808
Sep20;32.6
Oct20;31.48219565
Nov20;32.6
Dic20;25.54549197
Ene21;24.51854855
Feb21;27.80720339
Mar21;29.00821918
Abr21;29.25432316
May21;24.96230885
Jun21;21.56883558
Jul21;19.33742591
Ago21;n.d.
Sep21;n.d.
