Promedio movil tres meses;45 años a más(desempleo %)
Sep19;2.558109336
Oct-19;2.48791041
Nov-19;2.588057064
Dic-19;2.729081189
Ene-20;2.921671672
Feb-20;3.351331223
Mar-20;3.634403146
Abr-20;4.271604938
May-20;6.531791908
Jun-20;7.577931394
Jul-20;9.35324387
Ago-20;9.116479153
Sep20;11.3
Oct-20;10.7326526
Nov-20;11.3
Dic-20;9.256978654
Ene-21;8.757252732
Feb-21;8.822311197
Mar-21;9.215686275
Abr-21;8.564091887
May-21;7.174508015
Jun-21;6.646850493
Jul-21;6.626843382
Ago-21;n.d.
Sep21;n.d.
